Common_Name,Scientific_Name,Color_of_fur,Lat,Long,State
"Stork, white-necked",Ciconia episcopus,Red,27.0459,-82.2491,Florida
Blue wildebeest,Connochaetus taurinus,Orange,34.1781,-118.4574,California
"Openbill, asian",Anastomus oscitans,Blue,40.6514,-73.8708,New York
"Legaan, ground",Varanus sp.,Fuscia,40.0365,-75.1451,Pennsylvania
"Hoopoe, eurasian",Upupa epops,Purple,39.2847,-76.6205,Maryland
"Tortoise, galapagos",Geochelone elephantopus,Violet,40.0185,-76.2976,Pennsylvania
European shelduck,Tadorna tadorna,Purple,38.2222,-85.6885,Kentucky
"Starling, greater blue-eared",Lamprotornis chalybaeus,Red,46.6288,-120.574,Washington
"Monkey, black spider",Ateles paniscus,Orange,39.5645,-75.597,Delaware
Striped dolphin,Stenella coeruleoalba,Violet,41.0938,-85.0707,Indiana
Red-shouldered glossy starling,Lamprotornis nitens,Aquamarine,39.9274,-104.9548,Colorado
Potoroo,Potorous tridactylus,Fuscia,30.352,-97.7151,Texas
"Mongoose, yellow",Cynictis penicillata,Yellow,40.7955,-84.1383,Ohio
"Cardinal, red-capped",Paroaria gularis,Yellow,37.9625,-121.2624,California
Eastern boa constrictor,Acrantophis madagascariensis,Violet,40.2204,-74.7622,New Jersey
"Squirrel, richardson's ground",Spermophilus richardsonii,Turquoise,35.3039,-119.1056,California
Reindeer,Rangifer tarandus,Violet,47.1042,-122.87,Washington
"Lion, mountain",Felis concolor,Khaki,32.7673,-96.7776,Texas
Galapagos mockingbird,Nesomimus trifasciatus,Puce,39.0706,-84.4179,Ohio
Yellow baboon,Papio cynocephalus,Violet,31.6948,-106.3,Texas
"Plover, blacksmith",Vanellus armatus,Indigo,38.8933,-77.0146,District of Columbia
"Lynx, african",Felis caracal,Yellow,36.1866,-86.7852,Tennessee
"Cormorant, king",Phalacrocorax albiventer,Puce,32.6796,-97.3336,Texas
Gray rhea,Rhea americana,Fuscia,38.8933,-77.0146,District of Columbia
Blackbuck,Antilope cervicapra,Aquamarine,38.0401,-78.4851,Virginia
"Racer, american",Coluber constrictor,Maroon,43.0982,-89.3242,Wisconsin
Worm snake (unidentified),Carphophis sp.,Red,43.4599,-116.244,Idaho
"Jackrabbit, white-tailed",Lepus townsendii,Crimson,40.6747,-74.2239,New Jersey
Bahama pintail,Anas bahamensis,Puce,41.786,-72.6758,Connecticut
"Bat, madagascar fruit",Pteropus rufus,Green,36.0275,-80.2073,North Carolina
Red hartebeest,Alcelaphus buselaphus caama,Crimson,31.7466,-102.567,Texas
Kaffir cat,Felis silvestris lybica,Violet,32.7673,-96.7776,Texas
"Skimmer, four-spotted",Libellula quadrimaculata,Green,38.8952,-77.0365,District of Columbia
"Bushbaby, large-eared",Galago crassicaudataus,Mauv,37.9971,-87.575,Indiana
"Bat, madagascar fruit",Pteropus rufus,Puce,31.6948,-106.3,Texas
Snake-necked turtle,Chelodina longicollis,Pink,32.0053,-81.0477,Georgia
"Skunk, western spotted",Spilogale gracilis,Indigo,29.5407,-98.5521,Texas
"Stork, jabiru",Ephippiorhynchus mycteria,Goldenrod,38.7351,-77.0796,Virginia
Red phalarope,Phalaropus fulicarius,Khaki,29.4375,-98.4616,Texas
"Flamingo, chilean",Phoenicopterus chilensis,Orange,34.0881,-77.8526,North Carolina
"Crane, black-crowned",Balearica pavonina,Indigo,31.6948,-106.3,Texas
Trumpeter swan,Cygnus buccinator,Maroon,32.2138,-110.824,Arizona
Common raccoon,Procyon lotor,Pink,38.8933,-77.0146,District of Columbia
"Shrike, crimson-breasted",Laniaurius atrococcineus,Pink,38.6406,-121.444,California
"Cormorant, flightless",Nannopterum harrisi,Red,42.9521,-71.6539,New Hampshire
Blue racer,Coluber constrictor foxii,Teal,42.6149,-73.9708,New York
"Goldeneye, common",Bucephala clangula,Violet,45.0159,-93.4719,Minnesota
American alligator,Alligator mississippiensis,Mauv,43.0696,-89.4239,Wisconsin
Elegant crested tinamou,Eudromia elegans,Pink,38.6406,-121.444,California
"Dove, galapagos",Zenaida galapagoensis,Mauv,39.5207,-77.9162,Maryland
"Squirrel, european red",Sciurus vulgaris,Aquamarine,38.8933,-77.0146,District of Columbia
"Rat, arboral spiny",Echimys chrysurus,Blue,41.2917,-96.1711,Nebraska
"Flycatcher, tyrant",Myiarchus tuberculifer,Aquamarine,42.8161,-73.9398,New York
Carpet snake,Morelia spilotes variegata,Blue,37.9651,-84.4708,Kentucky
"Hornbill, southern ground",Bucorvus leadbeateri,Maroon,33.9367,-83.9573,Georgia
"Skua, long-tailed",Stercorarius longicausus,Indigo,39.0763,-77.1234,Maryland
Amazon parrot (unidentified),Amazona sp.,Pink,36.2383,-95.9931,Oklahoma
Roe deer,Capreolus capreolus,Indigo,32.3544,-86.2843,Alabama
Lily trotter,Actophilornis africanus,Maroon,41.8119,-87.6873,Illinois
"Lion, south american sea",Otaria flavescens,Blue,36.3551,-119.301,California
Common nighthawk,Chordeiles minor,Maroon,38.5495,-90.3811,Missouri
Sugar glider,Petaurus breviceps,Red,33.386,-82.091,Georgia
Tawny frogmouth,Podargus strigoides,Goldenrod,40.3286,-75.1028,Pennsylvania
"Skua, long-tailed",Stercorarius longicausus,Maroon,38.8933,-77.0146,District of Columbia
"Oryx, beisa",Oryx gazella,Maroon,38.025,-121.2972,California
North American porcupine,Erethizon dorsatum,Purple,29.7971,-95.4958,Texas
Great horned owl,Bubo virginianus,Turquoise,40.6681,-111.9083,Utah
"Heron, grey",Ardea cinerea,Orange,31.9714,-81.0716,Georgia
"Loris, slender",Loris tardigratus,Fuscia,38.3774,-121.4444,California
"Grouse, greater sage",Centrocercus urophasianus,Turquoise,31.6948,-106.3,Texas
Red-headed woodpecker,Melanerpes erythrocephalus,Indigo,38.8952,-77.0365,District of Columbia
Fat-tailed dunnart,Smithopsis crassicaudata,Yellow,38.2968,-81.5547,West Virginia
Blue catfish,Ictalurus furcatus,Teal,40.0028,-83.0164,Ohio
"Antelope, sable",Hippotragus niger,Violet,35.5514,-97.4075,Oklahoma
"Wolf, common",Canis lupus,Puce,36.8787,-76.2604,Virginia
American bighorn sheep,Ovis canadensis,Red,36.1378,-115.3261,Nevada
Australian sea lion,Neophoca cinerea,Pink,38.8318,-77.2888,Virginia
Kongoni,Alcelaphus buselaphus cokii,Purple,35.5514,-97.4075,Oklahoma
"Zorro, azara's",Pseudalopex gymnocercus,Violet,35.8596,-86.421,Tennessee
"Marmot, hoary",Marmota caligata,Aquamarine,42.5125,-83.0643,Michigan
Bird (unidentified),unavailable,Orange,40.43,-74.4173,New Jersey
Steller sea lion,Eumetopias jubatus,Khaki,47.6115,-122.1162,Washington
"Cockatoo, slender-billed",Cacatua tenuirostris,Yellow,43.0685,-87.9715,Wisconsin
Gecko (unidentified),unavailable,Teal,45.0159,-93.4719,Minnesota
Fork-tailed drongo,Dicrurus adsimilis,Indigo,37.2742,-79.9579,Virginia
Native cat,Dasyurus viverrinus,Orange,30.486,-91.1481,Louisiana
Baleen whale,Eubalaena australis,Turquoise,30.3704,-81.5864,Florida
Azara's zorro,Pseudalopex gymnocercus,Pink,30.2907,-97.7648,Texas
Savannah deer (unidentified),unavailable,Turquoise,40.0422,-75.0244,Pennsylvania
"Cockatoo, slender-billed",Cacatua tenuirostris,Maroon,36.2383,-95.9931,Oklahoma
"Wambenger, red-tailed",Phascogale calura,Khaki,33.61,-101.8213,Texas
"Phalarope, red-necked",Phalaropus lobatus,Blue,37.6802,-121.9215,California
Blackbuck,Antilope cervicapra,Green,38.6128,-90.2185,Missouri
Blue peacock,Pavo cristatus,Goldenrod,39.1271,-95.6384,Kansas
"Quoll, eastern",Dasyurus viverrinus,Khaki,40.1454,-82.9817,Ohio
"Goose, egyptian",Alopochen aegyptiacus,Khaki,35.1104,-106.5781,New Mexico
Kafue flats lechwe,Kobus leche robertsi,Aquamarine,42.6149,-73.9708,New York
Bobcat,Felis rufus,Teal,38.8933,-77.0146,District of Columbia
African elephant,Loxodonta africana,Purple,44.968,-93.1981,Minnesota
"Gull, dusky",Larus fuliginosus,Green,38.5495,-90.3811,Missouri
"Francolin, swainson's",Francolinus swainsonii,Orange,41.3089,-73.3637,Connecticut
Common eland,Taurotagus oryx,Indigo,45.7246,-111.1238,Montana
Tiger cat,Dasyurus maculatus,Yellow,35.6203,-82.5286,North Carolina
"Bat, asian false vampire",Megaderma spasma,Purple,33.4368,-111.7129,Arizona
Snowy egret,Egretta thula,Orange,35.2017,-89.9715,Tennessee
"Bear, black",Ursus americanus,Yellow,40.4322,-80.1021,Pennsylvania
"Puma, south american",Felis concolor,Indigo,39.0763,-77.1234,Maryland
African black crake,Limnocorax flavirostra,Puce,38.8933,-77.0146,District of Columbia
"Albatross, waved",Diomedea irrorata,Orange,26.6459,-80.4303,Florida
White rhinoceros,Ceratotherium simum,Maroon,30.4124,-87.2035,Florida
"Phalarope, red-necked",Phalaropus lobatus,Turquoise,47.1441,-122.4434,Washington
Little heron,Butorides striatus,Aquamarine,34.8882,-81.969,South Carolina
Asian foreset tortoise,Manouria emys,Fuscia,38.3774,-121.4444,California
"Eagle, crowned",Spizaetus coronatus,Fuscia,27.0228,-82.1108,Florida
Pale-throated three-toed sloth,Bradypus tridactylus,Mauv,29.834,-95.4342,Texas
"Wambenger, red-tailed",Phascogale calura,Red,39.035,-94.3567,Missouri
"Reedbuck, bohor",Redunca redunca,Turquoise,21.2811,-157.8266,Hawaii
"Cormorant, little",Phalacrocorax niger,Turquoise,43.0696,-89.4239,Wisconsin
Indian tree pie,Dendrocitta vagabunda,Blue,37.7441,-122.4863,California
Tammar wallaby,Macropus eugenii,Teal,40.0018,-75.1179,Pennsylvania
Little grebe,Tachybaptus ruficollis,Crimson,40.7955,-84.1383,Ohio
"Eagle, golden",Aquila chrysaetos,Pink,36.0986,-86.8219,Tennessee
"Marmot, hoary",Marmota caligata,Aquamarine,35.22,-80.7881,North Carolina
Glossy ibis,Plegadis falcinellus,Green,35.0512,-106.7269,New Mexico
"Stork, black-necked",Ephippiorhynchus mycteria,Crimson,40.7808,-73.9772,New York
"Hare, arctic",Lepus arcticus,Yellow,32.7673,-96.7776,Texas
Black and white colobus,Colobus guerza,Pink,58.3271,-134.4742,Alaska
Bateleur eagle,Terathopius ecaudatus,Teal,27.4544,-82.6358,Florida
Pine snake (unidentified),Pituophis melanaleucus,Maroon,33.5446,-86.9292,Alabama
Red-billed buffalo weaver,Bubalornis niger,Yellow,32.7673,-96.7776,Texas
"Egret, snowy",Egretta thula,Turquoise,33.9187,-117.8892,California
American badger,Taxidea taxus,Orange,46.6288,-120.574,Washington
Chuckwalla,Sauromalus obesus,Purple,33.6968,-111.8892,Arizona
"Mockingbird, galapagos",Nesomimus trifasciatus,Crimson,32.7423,-117.0947,California
"Parakeet, rose-ringed",Psittacula krameri,Purple,34.6725,-92.3529,Arkansas
Paddy heron (unidentified),unavailable,Crimson,39.7002,-105.0028,Colorado
"Barbet, black-collared",Lybius torquatus,Mauv,42.1827,-80.0649,Pennsylvania
Gerbil (unidentified),Gerbillus sp.,Red,36.1398,-96.0297,Oklahoma
"Vulture, white-headed",Aegypius occipitalis,Orange,40.9252,-74.1781,New Jersey
Magistrate black colobus,Colobus guerza,Purple,32.7831,-79.937,South Carolina
American beaver,Castor canadensis,Crimson,33.2765,-112.1872,Arizona
Feathertail glider,Acrobates pygmaeus,Puce,29.4375,-98.4616,Texas
Koala,Phascolarctos cinereus,Teal,42.3253,-71.1122,Massachusetts
Ant (unidentified),unavailable,Turquoise,25.7341,-80.4068,Florida
"Shark, blue",Prionace glauca,Orange,37.31,-121.9011,California
Greater blue-eared starling,Lamprotornis chalybaeus,Purple,41.7665,-72.6933,Connecticut
"Cormorant, pied",Phalacrocorax varius,Teal,40.7086,-74.0087,New York
Red-necked wallaby,Macropus rufogriseus,Orange,40.7372,-111.8581,Utah
Gambel's quail,Callipepla gambelii,Fuscia,38.8981,-77.0401,District of Columbia
White-bellied sea eagle,Haliaetus leucogaster,Teal,40.8662,-73.9221,New York
"Deer, black-tailed",Odocoileus hemionus,Teal,47.6339,-122.3476,Washington
Brown lemur,Lemur fulvus,Goldenrod,30.033,-89.8826,Louisiana
Bottle-nose dolphin,Tursiops truncatus,Purple,38.8289,-104.5269,Colorado
Madagascar fruit bat,Pteropus rufus,Yellow,38.9982,-77.0338,Maryland
"Mynah, indian",Acridotheres tristis,Red,33.8444,-84.474,Georgia
Indian porcupine,Hystrix indica,Crimson,37.3329,-121.8916,California
"Squirrel, pine",Tamiasciurus hudsonicus,Maroon,45.0159,-93.4719,Minnesota
Black-eyed bulbul,Pycnonotus barbatus,Purple,33.9583,-118.3258,California
"Wallaby, agile",Macropus agilis,Goldenrod,40.081,-82.9383,Ohio
"Hyena, brown",Hyaena brunnea,Maroon,38.6171,-90.4504,Missouri
African ground squirrel (unidentified),Xerus sp.,Khaki,30.2107,-97.9427,Texas
"Plover, blacksmith",Vanellus armatus,Violet,30.033,-89.8826,Louisiana
Laughing dove,Streptopelia senegalensis,Orange,35.5514,-97.4075,Oklahoma
"Skua, great",Catharacta skua,Indigo,42.3615,-71.0604,Massachusetts
Sarus crane,Grus antigone,Mauv,36.0275,-80.2073,North Carolina
Pygmy possum,Acrobates pygmaeus,Khaki,38.8318,-77.2888,Virginia
"Moorhen, purple",Porphyrio porphyrio,Goldenrod,37.5498,-77.4588,Virginia
"Zebra, common",Equus burchelli,Blue,39.8647,-86.0136,Indiana
"Caiman, spectacled",Caiman crocodilus,Pink,38.8933,-77.0146,District of Columbia
Eagle owl (unidentified),Bubo sp.,Mauv,29.4375,-98.4616,Texas
"Stork, marabou",Leptoptilos crumeniferus,Goldenrod,42.1827,-80.0649,Pennsylvania
Crown of thorns starfish,Acanthaster planci,Maroon,33.9631,-118.3941,California
North American river otter,Lutra canadensis,Turquoise,39.0663,-94.5674,Missouri
Golden eagle,Aquila chrysaetos,Orange,47.4323,-121.8034,Washington
"Flycatcher, tyrant",Myiarchus tuberculifer,Orange,30.5422,-84.1413,Florida
Spectacled caiman,Caiman crocodilus,Fuscia,30.1244,-93.1835,Louisiana
Black-footed ferret,Mustela nigripes,Goldenrod,28.5456,-81.3782,Florida
Yellow-billed hornbill,Tockus flavirostris,Violet,32.373,-86.3081,Alabama
Klipspringer,Oreotragus oreotragus,Aquamarine,38.0283,-84.4715,Kentucky
"Cat, african wild",Felis silvestris lybica,Puce,38.1286,-104.5523,Colorado
White-nosed coatimundi,Nasua narica,Yellow,27.872,-82.4388,Florida
"Squirrel, golden-mantled ground",Spermophilus lateralis,Mauv,42.6149,-73.9708,New York
Gelada baboon,Theropithecus gelada,Crimson,36.7464,-119.6397,California
Civet (unidentified),unavailable,Mauv,32.7673,-96.7776,Texas
"Flicker, campo",Colaptes campestroides,Fuscia,36.0986,-86.8219,Tennessee
Wattled crane,Bugeranus caruncalatus,Indigo,38.2968,-81.5547,West Virginia
Desert spiny lizard,Sceloporus magister,Crimson,29.4375,-98.4616,Texas
"Crane, wattled",Bugeranus caruncalatus,Blue,37.7211,-122.4754,California
Rainbow lory,Trichoglossus haematodus moluccanus,Khaki,40.6869,-73.8501,New York
African wild dog,Lycaon pictus,Purple,33.8106,-118.3507,California
"Pelican, great white",Pelecans onocratalus,Pink,43.4599,-116.244,Idaho
Canadian river otter,Lutra canadensis,Orange,32.7673,-96.7776,Texas
Striped dolphin,Stenella coeruleoalba,Mauv,42.3189,-85.5152,Michigan
Eastern grey kangaroo,Macropus giganteus,Purple,35.2454,-101.999,Texas
"Stork, saddle-billed",Ephipplorhynchus senegalensis,Purple,30.3449,-81.6831,Florida
"Gecko, ring-tailed",Cyrtodactylus louisiadensis,Maroon,39.2847,-76.6205,Maryland
"Pie, indian tree",Dendrocitta vagabunda,Goldenrod,38.8933,-77.0146,District of Columbia
"Flamingo, roseat",Phoenicopterus ruber,Goldenrod,32.2334,-86.2085,Alabama
Snowy egret,Egretta thula,Violet,36.9312,-76.2397,Virginia
"Dove, laughing",Streptopelia senegalensis,Crimson,36.1693,-115.2828,Nevada
"Openbill, asian",Anastomus oscitans,Crimson,25.8594,-80.2725,Florida
Common palm civet,Paradoxurus hermaphroditus,Violet,40.0495,-83.0669,Ohio
Black-crowned night heron,Nycticorax nycticorax,Mauv,37.5158,-77.5047,Virginia
"Possum, western pygmy",Cercatetus concinnus,Teal,29.2243,-94.9637,Texas
"Plover, three-banded",Charadrius tricollaris,Orange,45.5486,-123.1147,Oregon
Snowy egret,Egretta thula,Red,37.7641,-122.1633,California
Galapagos penguin,Spheniscus mendiculus,Turquoise,39.7495,-89.606,Illinois
Common duiker,Sylvicapra grimma,Teal,36.8586,-76.2686,Virginia
"Porcupine, crested",Hystrix cristata,Crimson,41.9705,-70.7014,Massachusetts
"Fox, blue",Alopex lagopus,Purple,41.8804,-87.7223,Illinois
Blue peacock,Pavo cristatus,Green,37.2742,-79.9579,Virginia
Silver-backed fox,Vulpes chama,Puce,38.8999,-94.832,Kansas
African jacana,Actophilornis africanus,Teal,42.7371,-84.5244,Michigan
"Duck, comb",Sarkidornis melanotos,Puce,41.2722,-75.8801,Pennsylvania
"Reedbuck, bohor",Redunca redunca,Mauv,30.351,-81.5061,Florida
"Deer, black-tailed",Odocoileus hemionus,Purple,35.5514,-97.4075,Oklahoma
Eastern grey kangaroo,Macropus giganteus,Turquoise,36.7949,-119.7604,California
"Lion, asian",Panthera leo persica,Maroon,29.834,-95.4342,Texas
"Owl, australian masked",Tyto novaehollandiae,Fuscia,35.0981,-89.9825,Tennessee
"Gull, pacific",Gabianus pacificus,Blue,47.4441,-122.3249,Washington
Common mynah,Acridotheres tristis,Red,33.0169,-116.846,California
Cape cobra,Naja nivea,Khaki,37.3811,-122.3348,California
Hanuman langur,Semnopithecus entellus,Maroon,40.7548,-73.6018,New York
"Oystercatcher, blackish",Haematopus ater,Indigo,40.9166,-74.174,New Jersey
"Plover, three-banded",Charadrius tricollaris,Violet,25.8594,-80.2725,Florida
"Phalarope, grey",Phalaropus fulicarius,Maroon,29.834,-95.4342,Texas
Jabiru stork,Ephippiorhynchus mycteria,Aquamarine,39.0429,-95.7697,Kansas
Brown antechinus,Antechinus flavipes,Indigo,29.5189,-98.6006,Texas
Steller's sea lion,Eumetopias jubatus,Maroon,38.8336,-76.8777,Maryland
European spoonbill,Platalea leucordia,Aquamarine,27.872,-82.4388,Florida
African bush squirrel,Paraxerus cepapi,Aquamarine,40.7808,-73.9772,New York
"Badger, honey",Mellivora capensis,Khaki,33.2765,-112.1872,Arizona
"Rhinoceros, square-lipped",Ceratotherium simum,Indigo,40.2805,-74.712,New Jersey
Warthog,Phacochoerus aethiopus,Aquamarine,38.6531,-90.2435,Missouri
Water moccasin,Agkistrodon piscivorus,Teal,26.9668,-81.9545,Florida
Worm snake (unidentified),Carphophis sp.,Maroon,35.7977,-78.6253,North Carolina
"Sungazer, yellow-brown",Cordylus giganteus,Violet,31.9701,-111.8907,Arizona
Brush-tailed rat kangaroo,Bettongia penicillata,Puce,39.361,-76.5891,Maryland
"Echidna, short-beaked",Tachyglossus aculeatus,Fuscia,33.8635,-118.1801,California
Cape clawless otter,Aonyx capensis,Indigo,33.9464,-83.9912,Georgia
Southern tamandua,Tamandua tetradactyla,Goldenrod,27.2427,-82.4751,Florida
"Seal, common",Phoca vitulina,Purple,33.7866,-118.2987,California
"Pheasant, common",Phasianus colchicus,Orange,36.0807,-80.0244,North Carolina
"Mynah, indian",Acridotheres tristis,Puce,30.1876,-97.7472,Texas
"Rhea, greater",Rhea americana,Indigo,41.0888,-73.5435,Connecticut
Carpet snake,Morelia spilotes variegata,Crimson,32.8488,-79.8577,South Carolina
"Capuchin, black-capped",Cebus apella,Aquamarine,41.5968,-86.293,Indiana
Crown of thorns starfish,Acanthaster planci,Indigo,37.4009,-79.1785,Virginia
Scarlet macaw,Ara macao,Mauv,40.2805,-74.712,New Jersey
White-tailed jackrabbit,Lepus townsendii,Turquoise,36.2383,-95.9931,Oklahoma
"Phalarope, northern",Phalaropus lobatus,Maroon,38.189,-85.6768,Kentucky
Gray langur,Semnopithecus entellus,Indigo,47.4323,-121.8034,Washington
"Porcupine, tree",Coendou prehensilis,Blue,41.7918,-72.7188,Connecticut
"Racer, american",Coluber constrictor,Yellow,47.9335,-97.3944,North Dakota
Northern phalarope,Phalaropus lobatus,Maroon,32.0053,-81.0477,Georgia
"Dolphin, common",Delphinus delphis,Goldenrod,39.9788,-75.1262,Pennsylvania
Madagascar fruit bat,Pteropus rufus,Turquoise,37.6802,-121.9215,California
"Chickadee, black-capped",Parus atricapillus,Violet,41.9399,-87.6528,Illinois
"Cockatoo, slender-billed",Cacatua tenuirostris,Mauv,28.5559,-81.3535,Florida
"Gull, swallow-tail",Creagrus furcatus,Purple,41.2949,-96.0546,Nebraska
Helmeted guinea fowl,Numida meleagris,Mauv,39.1668,-84.5382,Ohio
"Jackal, indian",Canis aureus,Pink,30.2166,-97.8508,Texas
"Woodpecker, downy",Picoides pubescens,Teal,40.4344,-80.0248,Pennsylvania
Marabou stork,Leptoptilos crumeniferus,Maroon,40.6914,-73.8061,New York
"Puma, south american",Felis concolor,Crimson,32.2334,-86.2085,Alabama
Honey badger,Mellivora capensis,Mauv,38.1286,-104.5523,Colorado
Numbat,Myrmecobius fasciatus,Yellow,33.1968,-117.2831,California
Australian sea lion,Neophoca cinerea,Aquamarine,27.872,-82.4388,Florida
Sugar glider,Petaurus breviceps,Teal,37.31,-121.9011,California
"Baboon, savanna",Papio cynocephalus,Indigo,36.0807,-80.0244,North Carolina
Brown and yellow marshbird,Pseudoleistes virescens,Purple,32.7673,-96.7776,Texas
"Snake, buttermilk",Coluber constrictor,Aquamarine,41.8119,-87.6873,Illinois
"Lion, southern sea",Otaria flavescens,Blue,31.6948,-106.3,Texas
Little blue penguin,Eudyptula minor,Red,33.3616,-111.2795,Arizona
Canadian river otter,Lutra canadensis,Indigo,28.5559,-81.3535,Florida
"Alligator, american",Alligator mississippiensis,Maroon,25.8655,-80.1936,Florida
"Opossum, american virginia",Didelphis virginiana,Fuscia,43.1577,-77.608,New York
Southern boubou,Laniarius ferrugineus,Red,35.2017,-89.9715,Tennessee
"Viper, egyptian",Naja haje,Red,43.0354,-76.1282,New York
Black-crowned crane,Balearica pavonina,Fuscia,44.5463,-88.1021,Wisconsin
Miner's cat,Bassariscus astutus,Goldenrod,38.4096,-82.369,West Virginia
"Sloth, hoffman's",Choloepus hoffmani,Indigo,40.0343,-75.1213,Pennsylvania
Reindeer,Rangifer tarandus,Pink,40.2805,-74.712,New Jersey
African wild dog,Lycaon pictus,Crimson,29.9686,-90.0646,Louisiana
Lesser mouse lemur,Microcebus murinus,Khaki,33.2781,-111.7096,Arizona
"Heron, black-crowned night",Nycticorax nycticorax,Goldenrod,27.8918,-82.7248,Florida
Common zebra,Equus burchelli,Turquoise,39.7617,-84.1498,Ohio
"Stork, yellow-billed",Mycteria ibis,Yellow,30.0505,-95.4695,Texas
Ocelot,Felis pardalis,Turquoise,64.8544,-147.8469,Alaska
"Bee-eater, carmine",Merops nubicus,Violet,30.6589,-88.178,Alabama
Serval,Felis serval,Fuscia,26.1654,-80.2959,Florida
"Francolin, coqui",Francolinus coqui,Crimson,38.4134,-82.2774,West Virginia
"Alligator, mississippi",Alligator mississippiensis,Yellow,40.7548,-73.6018,New York
"Porcupine, north american",Erethizon dorsatum,Teal,38.9621,-94.5959,Missouri
Dromedary camel,Camelus dromedarius,Turquoise,40.7808,-73.9772,New York
"Crow, pied",Corvus albus,Aquamarine,32.8538,-117.1197,California
Savanna fox,Dusicyon thous,Aquamarine,39.0763,-77.1234,Maryland
Trumpeter swan,Cygnus buccinator,Violet,33.786,-84.3514,Georgia
Bare-faced go away bird,Lorythaixoides concolor,Goldenrod,40.0878,-105.3735,Colorado
"Hare, arctic",Lepus arcticus,Mauv,42.7198,-73.8207,New York
"Stork, saddle-billed",Ephipplorhynchus senegalensis,Teal,36.9312,-76.2397,Virginia
"Heron, giant",Ardea golieth,Purple,26.3462,-80.0844,Florida
Ornate rock dragon,Ctenophorus ornatus,Turquoise,32.3766,-95.1252,Texas
Prairie falcon,Falco mexicanus,Violet,35.1104,-106.5781,New Mexico
"Colobus, magistrate black",Colobus guerza,Blue,42.4464,-71.4594,Massachusetts
"Crane, stanley",Anthropoides paradisea,Goldenrod,37.9651,-84.4708,Kentucky
White-throated robin,Irania gutteralis,Crimson,35.1885,-101.8165,Texas
"Seal, common",Phoca vitulina,Maroon,38.1286,-104.5523,Colorado
"Waxbill, blue",Uraeginthus angolensis,Green,33.7529,-116.0556,California
King cormorant,Phalacrocorax albiventer,Green,43.286,-77.6843,New York
"Fox, arctic",Alopex lagopus,Violet,40.6451,-73.945,New York
Yellow-billed stork,Mycteria ibis,Green,32.3544,-86.2843,Alabama
Swallow (unidentified),unavailable,Crimson,42.3809,-83.0409,Michigan
"Hornbill, yellow-billed",Tockus flavirostris,Aquamarine,32.3401,-93.6092,Louisiana
Arctic tern,Sterna paradisaea,Orange,41.3089,-73.3637,Connecticut
Black-capped chickadee,Parus atricapillus,Indigo,37.5593,-77.4471,Virginia
Kelp gull,Larus dominicanus,Green,39.009,-77.4422,Virginia
Genoveva,Junonia genoveua,Fuscia,32.3386,-90.1708,Mississippi
"Antechinus, brown",Antechinus flavipes,Khaki,41.8119,-87.6873,Illinois
"Ferret, black-footed",Mustela nigripes,Puce,33.0169,-116.846,California
"Kudu, greater",Tragelaphus strepsiceros,Turquoise,41.4335,-81.6323,Ohio
